# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	3.1268997913217444e-8	4.4380255359640926e-11	3.7418806912251655e-8	7.702479161236424e-12	4.3640253776903976e-8	5.336127422448035e-11
4.0	3.267592328918323e-8	8.500638846713343e-12	3.7913059602649005e-8	1.4804659016983153e-10	4.33510706401766e-8	1.6501630167117109e-10
5.0	3.026568363686535e-8	9.559311466469943e-11	3.27886181245401e-8	1.2216808334813433e-10	3.642551853384842e-8	1.5422730488667283e-10
6.0	2.9335326142046226e-8	7.668367442651923e-11	3.3708736822543586e-8	1.3591897142450727e-10	3.5286147762084966e-8	1.1280682512189565e-10
7.0	2.0024905361823952e-8	6.460835913228685e-11	2.7467810840059332e-8	2.1572817079066532e-10	2.6649918512003316e-8	4.871389474068643e-11
8.0	2.8384478136156763e-8	7.184970331686317e-11	3.947530114735781e-8	1.1199968629775389e-10	3.9100367917586465e-8	5.019567775301845e-11
9.0	3.441450634657836e-8	4.7286716926482705e-11	4.173153338852097e-8	1.1877406005886968e-10	4.22525097268212e-8	2.149824735380935e-10
10.0	4.3647778355499606e-8	5.5963484754853873e-11	4.3472963587561344e-8	3.84949703505132e-10	4.600824827139548e-8	1.4898906176110947e-10
11.0	3.191016731627116e-8	3.453493973389604e-11	4.4050322454853454e-8	2.862349845477961e-10	4.145774351545254e-8	1.9760068753049588e-10
12.0	4.3588314874864485e-8	9.04768659122087e-11	4.6981896372963936e-8	1.9891672551559735e-10	4.646460190609611e-8	2.0270766221646766e-10
13.0	4.186604042072127e-8	3.1581026977232934e-11	4.250907924635086e-8	1.9292590997765362e-10	4.322927721792359e-8	1.7926042114716025e-10
14.0	4.2344811564876144e-8	3.3389754760540836e-11	4.529909151949964e-8	7.617028411115702e-11	4.527805267353447e-8	1.5528559748131505e-10
15.0	3.942043322295806e-8	7.111861899279061e-11	4.191352619903766e-8	1.1924358891064732e-10	4.31813486263452e-8	1.6303805228696227e-10
