# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	8.932491971114878e-8	5.1438372025745844e-11	1.0147842959641885e-7	8.13607567379945e-10	1.0737809213802517e-7	2.565893630747841e-10
4.0	9.20380704263245e-8	7.155609289807889e-11	1.0542359334988963e-7	8.478890368072857e-10	1.1217352205435983e-7	3.3971242114047624e-10
5.0	8.979545982272886e-8	5.501349103046417e-10	1.060049569629042e-7	8.001537707630271e-10	1.136156449767752e-7	2.1593359635026948e-10
6.0	9.394018021559381e-8	6.880112172398564e-10	1.127394257398442e-7	4.380819900136356e-10	1.2088324969962562e-7	1.1721026600670713e-9
7.0	9.294952518555766e-8	6.149220950721667e-10	1.3487057127794684e-7	2.7350912431128585e-10	1.1822189099309724e-7	2.1100801173246797e-10
8.0	1.259089245789293e-7	1.2377392212295837e-9	1.5033080439672871e-7	8.326263968787923e-10	1.5723723490274598e-7	8.879246555053536e-10
9.0	1.3275146447554498e-7	1.7509140683248396e-10	1.599852026222751e-7	2.8244424466702677e-10	1.6122924697933914e-7	2.9650673807919604e-10
10.0	1.4883197202552213e-7	2.5382002592720646e-10	1.6777477271768437e-7	1.1668727883768245e-10	1.7113308943784386e-7	2.780212132718819e-10
11.0	1.4175482235471009e-7	1.322456861362008e-10	1.7777265449694216e-7	6.004184765549284e-9	1.7423433469114727e-7	3.550026171664532e-9
12.0	1.5737222310899446e-7	5.7750154089083086e-11	1.8084408129970218e-7	7.815198665977911e-11	1.832736960134687e-7	5.631182874409161e-11
13.0	1.6048429807839572e-7	1.7110540439466295e-9	1.9309604441435843e-7	2.6776682761383364e-9	1.867547870599872e-7	6.027606434109215e-11
14.0	1.6934263421250308e-7	2.4811679777645298e-11	1.966460646474634e-7	9.6901929287768e-11	1.994021043600789e-7	3.842855573111439e-11
15.0	2.1039862063957367e-7	1.3130194830918074e-9	2.72217999479997e-7	7.069662842777168e-11	1.9994455822719382e-7	1.1352521926710246e-10
