# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	0.6761001920444438	0.0018026710750740883	0.7098513026493293	0.0021491361900408674	0.7057205349006223	0.001155029207247031
4.0	0.5852655311349556	0.0018700578131651236	0.6040838075444613	0.006425618293465702	0.620189470755727	0.003499385016569465
5.0	0.4968226422666437	0.009998610450133198	0.5450370386145796	0.010722021231022963	0.5411153386910508	0.003780221811835093
6.0	0.48764109560689856	0.009536541750174547	0.5125975200259716	0.002929256351330206	0.5384218224308647	0.002727084307079969
7.0	0.521817397826948	0.015388121714796222	0.6112536985232708	0.01163375765535792	0.6264007480845437	0.010672859877723198
8.0	0.4957449037151726	0.002300445671263875	0.5238847717474938	0.0057456182310557866	0.5269695104006913	0.015909294093250634
9.0	0.4781223520012964	0.00223195970204496	0.546690960582924	0.0023434450641917582	0.533378560991109	0.0023708038876762345
10.0	0.5057167992632948	0.0038410394264529442	0.5190765464670603	0.0011439856850476693	0.5268529165326035	0.0057367038668279064
11.0	0.39993516217989195	0.004923897216361315	0.4972117740809602	0.005110912925272754	0.4280181321056342	0.005435986853936317
12.0	0.4750903628145637	0.01972749514401802	0.43572410981720494	0.005029555644714381	0.4577672309117436	0.005609692021720799
13.0	0.43149498017886373	0.0008484772292948655	0.4455742687297789	0.008438087500714864	0.41006375210172064	0.00041840500564857346
14.0	0.4504690080896505	0.00018328378528707445	0.38923311017078777	0.013322998660348393	0.41737647801898115	0.00010138868934040489
15.0	0.4564015916030503	0.0003024297873665205	0.6473855893204439	0.008453459484960749	0.6275412050815175	0.008888825720632196
