# Polydeg	SBP-mean	std	GaussSBP-mean	std
3.0	2.266065280400628e-7	2.9135246296152996e-10	6.520581352991775e-7	3.5191292177883377e-9
4.0	2.5962940057947016e-7	4.664691171598869e-10	6.221839130725718e-7	1.0162856966126944e-9
5.0	2.9908442011142284e-7	2.3024521193828486e-10	6.605009056976446e-7	6.286422539748643e-9
6.0	3.4143925687854376e-7	2.885020045275076e-10	6.745223573890295e-7	1.8417334528376121e-9
7.0	3.870077846451311e-7	3.933287013759456e-9	7.000123671020104e-7	2.6431697503187255e-9
8.0	4.2860168145339564e-7	1.0116692669088874e-9	7.593758717792071e-7	1.5299645695753108e-9
9.0	4.758067285354581e-7	2.3053358382970306e-9	8.006114731848441e-7	1.026206895119167e-9
10.0	5.213966544373285e-7	1.7462739795102422e-9	8.468276755496062e-7	4.082885478370466e-9
11.0	5.712363480663448e-7	1.533101117074806e-9	8.46185208370161e-7	2.001020409210421e-9
12.0	6.132344851134832e-7	3.6407869152098328e-9	8.458674911199272e-7	1.1772728657991769e-9
13.0	6.545324102872804e-7	5.134654329051237e-9	8.593329626161827e-7	2.3610695526341035e-10
14.0	7.048284864506683e-7	3.330419207394325e-9	8.805296558021116e-7	4.0974428859772885e-10
15.0	7.434364575655518e-7	3.0149509653540323e-9	9.053585333925209e-7	1.8750860267688657e-9
