Polydeg	time_volume	time_entropy_projection	time_surface	time_interface	other
3.0	2.1350714577058232e-7	4.45656140185743e-8	2.589379000376506e-8	4.106464137801205e-8	4.962737669427703e-9
4.0	2.3712662729658795e-7	4.31433280839895e-8	2.6242522309711286e-8	3.2852267716535436e-8	4.031178477690215e-9
5.0	2.5500633192039445e-7	3.630377059283309e-8	2.2702173019881355e-8	2.7450165093394264e-8	3.557508367404167e-9
6.0	2.840445848031399e-7	3.608217023984022e-8	2.240248471132731e-8	2.4300736514021553e-8	3.581414531084659e-9
7.0	2.904761165510557e-7	2.9652239014036808e-8	1.4793156690839874e-8	2.096525977438341e-8	3.4131173217956316e-9
8.0	3.5661982130211507e-7	3.3133575245254616e-8	2.0282215718414854e-8	1.8355067646199483e-8	3.2962812335444458e-9
9.0	3.4717191926310583e-7	3.124754067754699e-8	1.876887166172107e-8	1.687556738377844e-8	3.5593536102868636e-9
10.0	3.687709183258202e-7	2.988770762897571e-8	1.869929799023291e-8	1.5285973265715003e-8	3.5073446500125114e-9
11.0	3.815269977461014e-7	2.6542135416666667e-8	1.4926930027615335e-8	1.3963326378736195e-8	3.5118554560590712e-9
12.0	4.103400815005283e-7	3.199047765831153e-8	2.024761682528891e-8	1.2956744675941741e-8	3.3352902184825034e-9
13.0	4.4506299914232617e-7	3.197826442607118e-8	1.9831928001463744e-8	1.2309464410764307e-8	3.625469572227416e-9
14.0	4.6472171655883303e-7	3.1708157522033726e-8	1.9502498921663526e-8	1.1263492553534737e-8	3.6706428753375907e-9
15.0	4.915144643012808e-7	3.055821324353435e-8	1.8227953056086966e-8	1.0752191007496796e-8	3.7086607806883847e-9
