# Polydeg	Conservative-variables-mean	std	Primitive-variables-mean	std
3.0	6.44817396e-6	6.963521049133416e-8	5.555385250000001e-6	6.4132776616321e-8
4.0	1.65631338e-5	3.2696405191807354e-7	1.4254787800000002e-5	3.454390513317486e-7
5.0	3.47408724e-5	3.208222455029591e-7	2.9592623e-5	3.947619994054867e-7
6.0	6.676301149999999e-5	4.837560659680518e-7	5.723516700000001e-5	5.801244152289355e-7
7.0	0.0001163417026	5.480721038844667e-7	0.0001002745278	6.284803621305269e-7
8.0	0.00019022225450000002	7.559938449479005e-7	0.0001642703576	8.1433160930866e-7
9.0	0.0002938152324	7.962056416106415e-7	0.00025403212280000005	8.773258608902273e-7
10.0	0.0004279431184	8.646668507915207e-7	0.00037564760080000003	9.684179394093736e-7
11.0	0.0006105485050951505	9.493311951470835e-7	0.0005278651296768708	1.02163068560262e-6
12.0	0.000848324874893472	1.4492655420414705e-6	0.0007654304154485306	2.2640225166793126e-6
13.0	0.0011430644202432868	1.2295047510518899e-6	0.0009843919982202888	2.0126997266538458e-6
14.0	0.0014962138594594597	2.0744758122312007e-6	0.0012667334707230143	2.13021385813578e-6
15.0	0.0019586136070726917	1.7454557638436052e-6	0.0016085510242248061	2.3293527011163653e-6
