# Polydeg	Conservative-variables-mean	std	Primitive-variables-mean	std
3.0	4.420493681818182e-7	2.360781395178613e-9	4.2599326169154236e-7	3.611680269726468e-9
4.0	8.829307410714286e-7	7.536535974616003e-9	8.17908325263158e-7	7.286183589050951e-9
5.0	1.5283162500000001e-6	2.404996663255487e-8	1.33986936e-6	3.1904701850831004e-8
6.0	2.4770805111111113e-6	3.282295057834106e-8	2.1633399555555557e-6	4.147379557351432e-8
7.0	3.6438095625000005e-6	3.603843455427284e-8	3.0067431666666666e-6	4.9680778622037334e-8
8.0	5.24652585e-6	5.1268860765221756e-8	4.282595342857143e-6	6.160339318935927e-8
9.0	7.411242825000001e-6	7.87402095935111e-8	5.834711216666667e-6	9.205341801323153e-8
10.0	9.646633400000002e-6	1.96944577282778e-7	7.6909543e-6	1.0878368403856023e-7
11.0	1.2698677100000001e-5	2.408344675491155e-7	9.990537200000001e-6	3.5486764761089746e-7
12.0	1.6003195e-5	2.3528716025269627e-7	1.2701290800000002e-5	3.689181856430092e-7
13.0	1.99832173e-5	2.7913014857713685e-7	1.61270153e-5	3.886418908427677e-7
14.0	2.4643876100000002e-5	2.7003213528059666e-7	1.93841967e-5	3.788490866719323e-7
15.0	2.98960666e-5	3.114942503983712e-7	2.35430899e-5	4.0300566841530593e-7
