# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	7.533631985224372e-8	1.9782547658746186e-10	9.610606820146506e-8	2.6105188645758485e-10	1.0208676868295565e-7	1.1521129890536683e-10
4.0	8.667761158940398e-8	2.0422520047887608e-10	1.1169497382036425e-7	1.0185357581822113e-9	1.1937726830160044e-7	6.278984690303962e-10
5.0	9.83592506721203e-8	1.257983197644722e-9	1.312327212112473e-7	2.7206233704354743e-10	1.3925533669329598e-7	7.506168330329192e-10
6.0	1.1237081271841756e-7	8.191843101112469e-10	1.5122603217374937e-7	6.132310251317824e-10	1.5876369530812564e-7	6.913864538621749e-10
7.0	1.2824219307973159e-7	3.751885219114133e-9	1.727661361475391e-7	3.1221733122538888e-9	1.819666947825855e-7	2.9628157638464966e-9
8.0	1.4233620723998979e-7	1.5857498487444e-10	1.9421530521664177e-7	1.3847418320340994e-9	2.0500880583253467e-7	6.152030249005452e-9
9.0	1.6108131027266144e-7	4.2385941149265386e-10	2.1625055392694539e-7	6.215116113608487e-10	2.2088082820691918e-7	9.314958624439896e-10
10.0	1.8094762981132235e-7	1.319367975348751e-9	2.360478259611864e-7	3.284189796444981e-10	2.4107253819364975e-7	2.614383935907753e-9
11.0	1.9226977011648093e-7	2.301472155037402e-9	2.611574485725788e-7	2.6705936501054555e-9	2.626688415791825e-7	3.3131381704809657e-9
12.0	2.1162080308979495e-7	4.653967020471915e-9	3.042051915161912e-7	3.508307899851393e-9	2.9981667942425505e-7	3.674038589882562e-9
13.0	2.219622083055409e-7	4.180046586028536e-10	3.2909855453175685e-7	1.9299678252353008e-10	3.3282226714000777e-7	3.1070116808585227e-10
14.0	2.3832513526438969e-7	5.865754999129402e-11	3.73702723937127e-7	1.2789318730503983e-8	3.567638830502412e-7	4.818038667383105e-11
15.0	2.625876444656591e-7	6.334311450760652e-11	3.634396452021652e-7	2.248213778920933e-10	3.7237234521933217e-7	5.274351894913005e-9
