# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	1.008298448709989e-7	1.9090250395092085e-10	1.1281642435844371e-7	7.584339177191695e-10	1.1927547469991723e-7	1.599672853207588e-10
4.0	1.1998236561810156e-7	7.925127228426555e-10	1.3360923399558502e-7	1.7275038850532432e-10	1.3876913107064018e-7	2.135905411023893e-10
5.0	1.4011173791237432e-7	6.087552530773981e-10	1.5684502065703948e-7	1.3978828988891862e-9	1.5962304543782196e-7	8.510738445833454e-11
6.0	1.6102503575933687e-7	2.4225056875574807e-10	1.7955540177163584e-7	1.212770794400629e-9	1.8198882717822228e-7	3.16799172969285e-10
7.0	1.8597073998861757e-7	1.3603235797986714e-9	2.035783095336645e-7	4.230484437132681e-10	2.0534877929687503e-7	2.912451173614751e-10
8.0	1.976001542358216e-7	1.785924633217291e-10	2.1644559980786525e-7	2.5356923164478813e-10	2.1872423367536043e-7	4.708645248821601e-10
9.0	2.1367513548565124e-7	6.799471889438935e-10	2.3611267839403977e-7	5.009388117537019e-10	2.3722300993377485e-7	4.464611257323913e-10
10.0	2.368910441523909e-7	1.6270065449348419e-10	2.5296095200955974e-7	4.2578201608826436e-11	2.5537880857415214e-7	2.049490870789112e-11
11.0	2.518394529812822e-7	4.923502113738191e-10	2.746861292195548e-7	1.2917933611489908e-10	2.7557408916444386e-7	2.895370266417432e-10
12.0	2.7068024809129145e-7	4.826094044644146e-10	2.9537447118650156e-7	9.030174250915567e-11	2.937974393670729e-7	1.3067668034847383e-9
13.0	2.9007930646596387e-7	6.707625922490243e-10	3.150911693091972e-7	6.713741238490795e-10	3.1604930300969724e-7	2.737585572286014e-9
14.0	3.0571495630978666e-7	6.612372608241458e-10	3.352411039980378e-7	3.244489936766967e-9	3.347073299914153e-7	8.069557600515811e-10
15.0	3.2117667546219653e-7	1.0106791178043317e-9	3.5608010962614684e-7	1.6008318620570797e-10	3.552342549237721e-7	1.0061359226233043e-9
