# Polydeg	Conservative-variables-mean	std	Primitive-variables-mean	std	Precomputed-log-variables-mean	std
3.0	6.4328294400000005e-6	5.54937113598149e-8	5.548818216666668e-6	6.513036681797104e-8	5.439253166666668e-6	7.95086017818419e-8
4.0	1.65332355e-5	2.824219882687886e-7	1.42864929e-5	3.106048388003294e-7	1.35156191e-5	3.690513586287424e-7
5.0	3.49574196e-5	3.4103501143393233e-7	2.9482966100000004e-5	3.87193659612079e-7	2.8247485600000002e-5	4.5705380515943767e-7
6.0	6.649391910000001e-5	4.784786282948941e-7	5.7101875500000006e-5	5.077598515109586e-7	5.42542161e-5	3.1643583986660413e-6
7.0	0.0001165278234	5.566415570137927e-7	0.000100844078	6.317714270443093e-7	9.30279133e-5	6.291800452462264e-7
8.0	0.00018982394450000004	6.91509181222145e-7	0.0001645676347	7.822301353530018e-7	0.0001522700307	1.7210904392237815e-6
9.0	0.0002922834615	8.066942938227089e-7	0.00025397660560000005	8.917653889894697e-7	0.00023516849200000002	3.6455830705291043e-6
10.0	0.00042745562900000007	8.430086844886074e-7	0.0003706686846	9.904536305967464e-7	0.0003469612754	4.167911677702654e-6
11.0	0.0006164583520079326	8.797702098850861e-7	0.0005327458195278971	1.0608366339995066e-6	0.0004941502597000001	1.8432864568894672e-6
12.0	0.0008434920010167769	8.325624164512243e-7	0.0007636152887626651	1.1178691481987574e-6	0.000682508018678753	8.283411487075328e-6
13.0	0.0011418028101788172	6.134048774242437e-6	0.0009914165990838478	1.8475182671360928e-6	0.0009286271334204144	1.197042892033087e-5
14.0	0.0015024348625263793	1.2438308908674059e-6	0.0012685358476821193	2.0880658523008667e-6	0.0011874698984020988	1.4153264479787304e-5
15.0	0.0019822199550695824	1.2494822049148645e-6	0.0016108768014872295	4.772125885566629e-6	0.0015794594858774993	2.341075137670603e-5
