# Polydeg	Conservative-variables-mean	std	Primitive-variables-mean	std	Precomputed-log-variables-mean	std
3.0	7.445382675000001e-6	7.697242755724143e-8	6.94732246e-6	8.215527700946818e-8	5.273225633333334e-6	3.8633014859799414e-7
4.0	1.78125516e-5	1.7887586748628589e-6	1.5987926100000003e-5	3.5734621289496975e-7	1.4883664500000002e-5	1.2922968843355913e-6
5.0	4.56292144e-5	4.5338488507893795e-7	4.3823103100000004e-5	5.792222489785429e-7	2.94390185e-5	5.289777527496221e-7
6.0	8.29506762e-5	1.1878231087697078e-6	7.605079850000001e-5	8.060480720448345e-7	5.6182942300000004e-5	6.785876825399939e-7
7.0	0.00016539749710000001	2.7012329444410388e-6	0.00016561217	9.631050776727657e-7	9.327840270000001e-5	8.049503109093215e-7
8.0	0.0002423409098	9.727067546321506e-7	0.0002431642035	1.1056887162495033e-6	0.00015958270730000003	8.002837931891607e-6
9.0	0.00042691309000000003	1.0807801786114733e-6	0.00043687181590000004	1.2821663506200185e-6	0.00024074878000000002	1.3269478222312632e-5
10.0	0.0005952633776767556	1.1909829173774335e-6	0.0005980194772672601	1.5471458710248433e-6	0.00034637406010000005	1.859470240024893e-5
11.0	0.0008834209902447677	1.1791852580105902e-6	0.0009223662851316277	3.0448378656239834e-6	0.0005199766618418293	2.5433703311487393e-5
12.0	0.0011849307268188302	2.443485896481817e-6	0.0011713527083039284	2.6295664690455484e-6	0.0007130945598728875	4.124502320672062e-6
13.0	0.0016697559953130232	3.933500860736068e-6	0.0016233663508143324	3.931756808878434e-6	0.0009742031229652873	2.931555274585879e-6
14.0	0.002089765167993297	4.840672953068901e-6	0.001976087724930638	3.6273436324062593e-6	0.0012442428653653653	4.8002202239730575e-6
15.0	0.0028329510624290582	2.1384445228625994e-6	0.0026677019524064174	5.023460381849001e-6	0.0016040171092843328	3.43235346268322e-6
