# Polydeg	Conservative-variables-mean	std	Primitive-variables-mean	std	Precomputed-log-variables-mean	std
3.0	1.8462700600000002e-6	2.5345902648643378e-8	2.0160672e-6	3.422359149066216e-8	8.281041629310346e-7	6.115703710667874e-9
4.0	3.73703385e-6	4.0678342234292104e-8	4.082048714285715e-6	6.060731787653875e-8	1.5689866300000001e-6	3.613340037285932e-8
5.0	6.641369580000001e-6	6.416243867308386e-8	7.205395650000001e-6	1.1193461343278018e-7	2.7259849666666676e-6	4.155548463246541e-8
6.0	1.07899394e-5	2.393386304499184e-7	1.16802599e-5	3.413844107213719e-7	4.257132412500001e-6	4.92220383126086e-8
7.0	1.66398926e-5	3.0294954515220974e-7	1.7781402600000004e-5	3.716123758555801e-7	6.1884712600000005e-6	8.155591779132327e-8
8.0	2.37981649e-5	3.095400345856593e-7	2.56986489e-5	3.856360288451591e-7	8.914402033333334e-6	1.3486160581633346e-7
9.0	3.37746222e-5	3.2949291862724846e-7	3.63533422e-5	4.577137178236069e-7	1.2165711500000001e-5	3.5556332993703046e-7
10.0	4.631984e-5	4.3586215295852224e-7	4.9681517600000005e-5	5.463669988020673e-7	1.6216002100000002e-5	3.895118887103894e-7
11.0	6.19806018e-5	4.888469238608921e-7	6.64027064e-5	5.591454565345196e-7	2.1103472900000003e-5	3.7145065032134803e-7
12.0	7.99744709e-5	7.47674440689339e-7	8.60328018e-5	5.849525509521662e-7	2.69560073e-5	4.795368246582638e-7
13.0	0.0001003808892	5.288643842017041e-7	0.00010854700810000002	6.611591664483886e-7	3.38527819e-5	4.6105735881905426e-7
14.0	0.0001258609075	1.3938896571756994e-6	0.00013569429990000002	8.066708234104692e-7	4.15524915e-5	5.195818192108298e-7
15.0	0.0001538390442	6.558553386752959e-7	0.0001644521014	8.010219726937045e-7	5.11672789e-5	5.567437793800465e-7
