# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	6.653051402110928e-8	1.1042809259110565e-10	1.2291707669357064e-7	7.670555648313914e-11	1.264421594750276e-7	7.988404278990937e-11
4.0	7.931230242825606e-8	1.2981835439139663e-10	1.5376408057395143e-7	3.2558188596439876e-11	1.5482388769315673e-7	1.0235015213154128e-10
5.0	9.261294418383616e-8	1.1167866912471226e-10	1.8514719999386803e-7	2.1209564484516446e-10	1.8446445973601914e-7	1.7454544279954704e-10
6.0	1.0667198917646528e-7	8.947779122132075e-11	2.2235692309208452e-7	1.1232221160915797e-10	2.1457587666689194e-7	1.928612941360065e-9
7.0	1.2146033787337888e-7	3.5088565864233064e-10	2.437874301531457e-7	9.865657408247175e-11	2.4070820495740207e-7	8.820687881227235e-11
8.0	1.374093449363639e-7	1.3241469991116945e-10	2.6560123201291806e-7	7.491146013565903e-11	2.612815674992505e-7	1.3055926805239853e-10
9.0	1.4689903607891835e-7	1.511817605770853e-10	2.9082776020971307e-7	7.643182186141375e-11	2.85560160527042e-7	2.5355613441393515e-11
10.0	1.64495855054914e-7	3.1082601641363423e-10	3.1677785835476987e-7	4.1621452093437384e-11	3.108148685074709e-7	4.595816330032717e-11
11.0	1.7129941056536668e-7	1.1269349907676285e-10	3.4274041311204623e-7	9.824674397906697e-11	3.3712791627383804e-7	6.418159097012152e-10
12.0	1.8680870629890147e-7	1.099202943008416e-10	3.7013651539865724e-7	5.76079750445627e-11	3.632018072318665e-7	6.57269083647713e-11
13.0	1.987635141080439e-7	1.9980550422869245e-10	3.978736697245123e-7	6.752842031241126e-11	3.9041612489159577e-7	7.542830537533199e-11
14.0	2.0980104194260484e-7	1.6266524086648869e-10	4.2696273175741973e-7	7.079514628905888e-11	4.1763067868530793e-7	6.368732668723949e-10
15.0	2.1778130949917218e-7	2.6266862503634157e-10	4.546929833822692e-7	2.3130163340401052e-10	4.4484900869744245e-7	4.2367655967643495e-11
