# Polydeg	TreeMesh-mean	std	StructuredMesh-mean	std	P4estMesh-mean	std
3.0	1.1570747921840509e-7	3.0823855246656596e-10	2.0533196571467993e-7	1.9892488937602317e-10	2.0867196209299117e-7	1.856958642906812e-10
4.0	1.4000762389624726e-7	2.6130465338617623e-10	2.588245764348786e-7	3.0815176590389044e-11	2.7353827649006626e-7	2.9360241386493875e-8
5.0	1.6544007178225411e-7	5.856670677921851e-10	3.1930478158725783e-7	6.976271540384327e-11	3.190894513045745e-7	2.0886896225206944e-10
6.0	1.9061911589967116e-7	2.34289801623736e-10	3.562232031637158e-7	6.436527939179003e-11	3.55217774502185e-7	4.714692191582012e-11
7.0	2.136025816389004e-7	4.1555803352893615e-10	3.983575815095544e-7	5.372780050796268e-11	3.952164210170047e-7	1.1666517733442155e-10
8.0	2.315524663253209e-7	7.513878092395742e-10	4.410144866698008e-7	2.4547213590784684e-11	4.373113969285695e-7	5.8205922358770847e-11
9.0	2.5117316459713026e-7	5.175591174557634e-10	4.873594201848786e-7	9.017391005973789e-11	4.826182836644592e-7	4.549819565069352e-11
10.0	2.793976199190885e-7	8.617402812414729e-10	5.346391235883824e-7	1.2609391437455516e-10	5.291967374870012e-7	1.2457001411800955e-10
11.0	2.983904044889778e-7	1.3206580660294323e-9	5.831278493971518e-7	3.893716451316912e-11	5.760832505039705e-7	5.0911803698560304e-11
12.0	3.2186044744438787e-7	1.2669104455866438e-10	6.313297632809541e-7	4.22678530242971e-11	6.246099766758754e-7	5.279030251241886e-11
13.0	3.4430785033591254e-7	9.192204220311805e-10	6.802193906411903e-7	5.709601391042198e-11	6.728679628018427e-7	1.426972647395317e-10
14.0	3.6365417564998773e-7	7.286972896502293e-11	7.290149637601177e-7	1.0087902103256482e-10	7.199277191562425e-7	2.8035573841197768e-11
15.0	3.8295244027447227e-7	8.87911279278152e-10	7.787027542619517e-7	1.0878037798283017e-10	7.687173575091836e-7	4.639030690193991e-11
