# Polydeg	FluxDifferencing-mean	std	polydeg+1-mean	std	polydeg+2-mean	std	3*polydeg÷2-mean	std	2*polydeg-mean	std
3.0	6.428537759999999e-6	3.896557289260494e-7	4.719706900000001e-6	3.3219864291964577e-7	8.656956233333333e-6	1.8598374093124127e-7	4.620467671428572e-6	7.554051725359181e-8	1.7124097600000002e-5	3.7597393462072806e-7
4.0	1.6608000100000003e-5	2.5960780789757103e-7	9.269093600000001e-6	2.1142554545447584e-7	1.81081769e-5	4.870696936733382e-7	1.75180931e-5	4.7176254855871306e-7	4.51793883e-5	6.463449247106997e-7
5.0	3.4742924e-5	3.0900297685939986e-7	1.85702414e-5	3.9268209692952e-7	3.09508782e-5	5.362284474545771e-7	3.1622554400000005e-5	5.640426406316149e-7	8.34707823e-5	1.2972761399351466e-6
6.0	6.622117320000001e-5	2.035771360714427e-6	3.36389197e-5	1.903045794452012e-6	4.51422457e-5	1.4364436004080445e-6	6.33005295e-5	1.4100587973949744e-6	0.00018931576240000002	1.7139311572368989e-6
7.0	0.00011606598820000001	2.0077059115227695e-6	5.27878556e-5	2.412362743318089e-6	7.33750624e-5	1.0196197288918034e-6	0.00010207572640000001	1.2622395991346502e-6	0.0002793562048	1.3164928032416505e-6
8.0	0.0001906775622	2.789562296653698e-6	7.679043600000001e-5	7.687750362815124e-7	9.474426170000001e-5	3.2391541228778057e-6	0.00016987213810000003	1.1144747048790167e-6	0.0005258797122086808	1.628365776747692e-6
9.0	0.000292345905	3.140008211475221e-6	0.0001105952549	2.605372359229869e-6	0.0001533211736	1.2080831227801314e-6	0.00026324150660000006	1.7563888393894883e-6	0.0007106532496747146	2.266598795048904e-6
10.0	0.0004289542017	3.5334372018281344e-6	0.0001394065947	3.0694959518415643e-6	0.0001829599192	1.2578164330653696e-6	0.0004265817865	1.8826916987975014e-6	0.0009639209436149313	1.6457869613970736e-5
11.0	0.0006078741763411951	4.1689844922029e-6	0.0001929281171	3.3659581059164524e-6	0.00027753605550000004	4.8648370119393546e-6	0.0005624624840480275	2.259919180862104e-6	0.001373168254956716	8.912538078338183e-6
12.0	0.0008437811905084746	4.967529690392508e-6	0.00028912795710000003	1.8619374078498622e-6	0.000322661381	1.8858444861604043e-6	0.0009029718597650515	2.6914956582343244e-5	0.002291441084572491	2.8933487850099072e-5
13.0	0.0011521084706290472	5.679528552657027e-6	0.0003107293526	2.072896013663393e-6	0.0004935915271138783	2.281931588776074e-6	0.0008218736913043478	3.066994666883974e-6	0.002377481474830591	2.4941905691002888e-5
14.0	0.001499757904905206	6.4392943730086365e-6	0.00049050828	2.4306069929619275e-6	0.0005372692486865149	2.4671513659270377e-6	0.0012206518441074093	8.425943813265446e-6	0.004010517633631194	4.3116519188170516e-5
15.0	0.0020337068788743883	7.456981995871426e-6	0.0006283620836526182	2.539313332590899e-6	0.0007660706215207589	3.098980879509889e-6	0.001810349118338846	2.4929327819474872e-5	0.0051935510577731095	3.6651626698016404e-5
