# Polydeg	FluxDifferencing-mean	std	polydeg+1-mean	std	polydeg+2-mean	std	3*polydeg÷2-mean	std	2*polydeg-mean	std
3.0	1.02843953e-6	1.8694184486959133e-8	5.03092674742268e-7	3.629872506235329e-9	7.213063702898551e-7	6.3670594761527196e-9	4.974553567010309e-7	3.6820165314604743e-9	9.936417125000002e-7	2.2098047211493594e-8
4.0	2.202359577777778e-6	2.951015303153814e-8	7.77552112605042e-7	6.43949599028476e-9	1.0536057599999999e-6	2.931835737947034e-8	1.0535051900000004e-6	2.9701292475940742e-8	2.0394508777777775e-6	4.0750508296366936e-8
5.0	3.5711209250000004e-6	3.988975181045033e-8	1.1292691400000004e-6	3.119641792433116e-8	1.5499843800000003e-6	3.581596412696766e-8	1.48217864e-6	3.684271366641483e-8	3.817056425e-6	6.254806118370224e-8
6.0	5.905674283333334e-6	5.01955480392171e-8	1.5855732e-6	4.385313821761396e-8	2.3224546222222226e-6	4.20637715492201e-8	2.9047818666666664e-6	5.6062287623999363e-8	5.6410676333333344e-6	9.251795140871589e-8
7.0	9.4982348e-6	2.2749460707582688e-7	2.3071111444444446e-6	5.240855599023532e-8	2.9947680555555557e-6	5.666135308051596e-8	4.0854933e-6	7.356997522178034e-8	8.037962075000001e-6	1.365150620963207e-7
8.0	1.3010432800000002e-5	2.07699539705892e-7	3.1971550625e-6	6.490737475559585e-8	4.208866042857143e-6	8.791772400271487e-8	6.0733071600000005e-6	1.0451380221874919e-7	1.1562344100000001e-5	3.436688596944774e-7
9.0	1.8046411900000002e-5	2.465859097748287e-7	4.513068000000001e-6	8.098307229117787e-8	5.3440482e-6	9.572173788111774e-8	7.49196765e-6	1.4630692148700627e-7	1.5970921e-5	4.5242967787308353e-7
10.0	2.41327592e-5	2.964420476317764e-7	5.6799134666666666e-6	1.6601518215193936e-7	6.7872425000000004e-6	1.3197595627633657e-7	1.0711319e-5	3.5507819489719327e-7	2.0749181000000003e-5	4.992356398149137e-7
11.0	3.08461985e-5	3.172562050578598e-7	7.005423040000001e-6	1.1473078697763059e-7	8.0413445e-6	1.4229104862570208e-7	1.2850282300000002e-5	3.674289291938114e-7	2.72106355e-5	5.256277961616565e-7
12.0	4.03088116e-5	3.5367654094525623e-7	8.462580200000001e-6	1.648774493129848e-7	9.8670193e-6	3.720445299164256e-7	1.7206722600000002e-5	4.975781874786168e-7	3.29295761e-5	5.966602468355048e-7
13.0	5.0438288e-5	3.9475104065019194e-7	9.9844948e-6	3.2973167071184876e-7	1.1487237e-5	3.5489103510187405e-7	1.9483229400000003e-5	4.7115812544575476e-7	4.0259410000000004e-5	5.80493777229817e-7
14.0	6.36763062e-5	4.2884895217773164e-7	1.1791594e-5	3.854999623684789e-7	1.38425976e-5	4.032785764645372e-7	2.4630734900000002e-5	4.773469520519151e-7	4.96967896e-5	6.564620809903782e-7
15.0	7.679878470000001e-5	4.71372855797646e-7	1.4116887900000001e-5	3.6481877008603975e-7	1.56698857e-5	4.541767914494303e-7	2.7808657200000003e-5	5.160150849005721e-7	6.03949087e-5	6.609764645983889e-7
