# Polydeg	FluxDifferencing-mean	std	polydeg+1-mean	std	polydeg+2-mean	std	3*polydeg÷2-mean	std	2*polydeg-mean	std
3.0	4.4176476313131306e-7	2.1892518558184904e-9	4.920207425641025e-7	3.75187794001464e-9	7.223046579710143e-7	5.759093529458773e-9	4.931330701030928e-7	4.446038733795939e-9	1.0105850399999998e-6	3.464724576878133e-8
4.0	8.776835166666667e-7	6.050105261653713e-9	8.10039396e-7	7.442583384815248e-9	1.0741654900000002e-6	2.7728370783631195e-8	1.06216598e-6	2.8439395502739794e-8	2.1638844222222222e-6	5.1572166153076866e-8
5.0	1.53215369e-6	2.194531736109797e-8	1.13407405e-6	3.0400460693853645e-8	1.5059069300000002e-6	3.741744755476049e-8	1.47354035e-6	4.26171064322012e-8	3.840917175e-6	6.304180932715765e-8
6.0	2.4445905777777777e-6	3.4585210525926584e-8	1.55506077e-6	4.226556006684257e-8	2.3233857555555555e-6	5.078647594604636e-8	2.9042679333333336e-6	5.635811412764169e-8	5.796414933333333e-6	1.0896252417509178e-7
7.0	3.6446783875000002e-6	3.389680622949011e-8	2.290501955555556e-6	5.3655035371617065e-8	3.1048390000000003e-6	4.9371752377936586e-8	4.060107557142857e-6	7.233998424402452e-8	8.050272775000002e-6	1.3649224048721854e-7
8.0	5.201468916666668e-6	5.2908647551883335e-8	3.1880333000000003e-6	6.196945515189064e-8	4.306814042857144e-6	7.671006341171936e-8	6.01934525e-6	9.169776056171367e-8	1.15869389e-5	3.4240301334705705e-7
9.0	7.21731475e-6	7.998812063288985e-8	4.520463428571429e-6	6.713429480820333e-8	5.3605951833333345e-6	9.263459090359415e-8	7.4786218250000006e-6	1.3394925953633493e-7	1.59862038e-5	4.0285376128423834e-7
10.0	1.0087839700000002e-5	2.029918505089486e-7	5.6629612e-6	9.478936946558425e-8	6.752631680000002e-6	1.1259609258044456e-7	1.11921822e-5	3.255329162636509e-7	2.1100396900000002e-5	4.0262218397983646e-7
11.0	1.2539041e-5	2.452862488061354e-7	7.2293393e-6	1.2088768667978175e-7	8.152872933333334e-6	1.4667860892268434e-7	1.3156909900000002e-5	3.611204801477039e-7	2.60942486e-5	4.246800514653959e-7
12.0	1.60249258e-5	2.600921299962162e-7	8.404755666666666e-6	1.6270346321734064e-7	9.8488105e-6	3.178526762859363e-7	1.74514732e-5	5.574228700971737e-7	3.29582109e-5	5.461549708154313e-7
13.0	2.0009364600000003e-5	2.545578858306375e-7	1.01306277e-5	3.689506567976607e-7	1.1591352800000002e-5	3.3353259050811386e-7	1.9422034e-5	5.078674185015983e-7	4.06513571e-5	5.825587581096478e-7
14.0	2.46345277e-5	2.617116117589798e-7	1.19558292e-5	3.4451470021644435e-7	1.3886579200000001e-5	3.7426809186439976e-7	2.46898347e-5	4.1993843192135973e-7	4.97307469e-5	5.555908287195585e-7
15.0	2.98688912e-5	3.2027229539390336e-7	1.43428496e-5	4.7080324908583084e-7	1.5957897100000002e-5	4.766213794045758e-7	2.78418189e-5	4.55231700008753e-7	5.947337200000001e-5	5.755821926554455e-7
