# Polydeg	FluxDifferencing-mean	std	polydeg+1-mean	std	polydeg+2-mean	std	3*polydeg÷2-mean	std	2*polydeg-mean	std
3.0	3.12958805e-6	5.065926212975721e-8	4.616356885714286e-6	8.09607826167023e-8	8.393353733333336e-6	2.2952754767134308e-7	4.947560214285713e-6	7.87454702938654e-8	1.6646924500000002e-5	4.036347885205144e-7
4.0	7.784211025e-6	8.85700296500718e-8	1.0045744500000001e-5	3.013216037569146e-7	1.7485563600000003e-5	4.356044934140467e-7	1.76123e-5	3.683643077529672e-7	4.4858563600000006e-5	5.33226012262207e-7
5.0	1.63946326e-5	2.2467344176111088e-7	1.856822e-5	4.3143586810884087e-7	3.1119101600000004e-5	5.310693901432794e-7	3.0847288100000004e-5	6.067952899873112e-7	8.336423080000001e-5	1.2225186316420013e-6
6.0	3.07480817e-5	4.1209616274583897e-7	3.35738447e-5	5.480311675424763e-7	4.48898698e-5	1.4550749570249006e-6	6.44965254e-5	2.2390193795796083e-6	0.00018659977910000003	1.722362927581937e-6
7.0	5.2933748e-5	4.2804055131185503e-7	5.12191467e-5	8.577054643905882e-7	7.65948275e-5	9.623336056381924e-7	0.0001016661635	1.814131239018553e-6	0.0002776901924	1.2985448919717355e-6
8.0	9.060034910000001e-5	5.27256579834987e-7	7.63452994e-5	7.984179989765694e-7	9.594289560000002e-5	2.8769804585635503e-6	0.0001696575482	1.199674695329622e-6	0.0005246914153419396	2.2327222776005803e-6
9.0	0.00013434069740000002	6.302361317723852e-7	0.00011115561380000002	1.1798009291710223e-6	0.0001531128485	1.0422690394628501e-6	0.0002622190158	1.3912507584967067e-6	0.0007072147063057876	2.275595667675822e-6
10.0	0.00020085702540000003	7.861421727056823e-7	0.00013957879250000002	9.965335105993803e-7	0.00018224281460000002	1.1093645165543648e-6	0.0004240002179	2.214494324314569e-5	0.0009424225373248897	1.724499106672036e-5
11.0	0.000307345143	1.4866886463090067e-6	0.00019195207010000003	1.3854667002796382e-6	0.00027850941960000006	4.256336506454989e-6	0.000559968385886913	2.222889313967685e-6	0.001366723808162132	6.936902270532919e-6
12.0	0.0003974432878	9.52370189720881e-7	0.00028894378000000003	2.1461030559208157e-6	0.00032309555570000004	1.7790867080187452e-6	0.0009046083064071967	2.7467988116398623e-5	0.002291353712029726	3.26801993274165e-5
13.0	0.0005374073894485971	1.2672767195675911e-6	0.0003081268107	1.9782118837705984e-6	0.0004998166656834826	3.2365786860978967e-6	0.0008168466773173573	3.2497695266359112e-6	0.0023405998900000004	2.389969723890423e-5
14.0	0.0007058774123667378	9.861019562188213e-7	0.0004890939285	2.403733889649388e-6	0.0005326995654393396	2.4326879454735755e-6	0.0012189025468750002	1.677129299236816e-5	0.004023900124694377	4.9157805643675806e-5
15.0	0.0009195167646188009	3.3020288307565877e-6	0.0006438432366972478	2.5234396916469095e-6	0.000764310413803824	9.132174213995245e-6	0.0017911158289139124	1.802384330254716e-5	0.005198052386961093	5.0334541212943144e-5
