# polyDeg ,   meanPID ,    stdDevPID
  3 , 2.53979E-07 , 1.23678E-09 
  4 , 2.70515E-07 , 1.90597E-09 
  5 , 3.18163E-07 , 1.00832E-09 
  6 , 3.95242E-07 , 4.23610E-10 
  7 , 4.40684E-07 , 5.26662E-10 
  8 , 5.05263E-07 , 6.54063E-10 
  9 , 5.56997E-07 , 9.99052E-10 
 10 , 6.12125E-07 , 1.01406E-09 
 11 , 6.44197E-07 , 6.10517E-10 
 12 , 7.09008E-07 , 6.49879E-09 
 13 , 7.38341E-07 , 4.10944E-09 
 14 , 7.92655E-07 , 1.46407E-08 
 15 , 8.29790E-07 , 1.27549E-08 
