# polyDeg ,   meanPID ,    stdDevPID
  3 , 6.85162E-07 , 1.70245E-09 
  4 , 6.90106E-07 , 9.73726E-10 
  5 , 7.22216E-07 , 7.84750E-10 
  6 , 7.59050E-07 , 7.42729E-10 
  7 , 7.92584E-07 , 6.51718E-10 
  8 , 8.36458E-07 , 1.20667E-09 
  9 , 8.81856E-07 , 9.75031E-10 
 10 , 1.01096E-06 , 1.01527E-09 
 11 , 1.01936E-06 , 5.34218E-09 
 12 , 1.08276E-06 , 1.23030E-09 
 13 , 1.15688E-06 , 2.24418E-08 
 14 , 1.21863E-06 , 2.83348E-09 
 15 , 1.23963E-06 , 3.96981E-09 
