# polyDeg ,   meanPID ,    stdDevPID
  3 , 1.41562E-07 , 2.90768E-10 
  4 , 1.48966E-07 , 1.03323E-10 
  5 , 1.76386E-07 , 4.65716E-10 
  6 , 1.92613E-07 , 9.29961E-10 
  7 , 2.21695E-07 , 2.10427E-10 
  8 , 2.36700E-07 , 3.70928E-10 
  9 , 2.49649E-07 , 8.40639E-10 
 10 , 2.87947E-07 , 2.57982E-10 
 11 , 3.04274E-07 , 2.52746E-10 
 12 , 3.40911E-07 , 9.93380E-10 
 13 , 3.58738E-07 , 3.58134E-10 
 14 , 3.83516E-07 , 6.81761E-10 
 15 , 4.31078E-07 , 9.85204E-09 
