# polyDeg ,   meanPID ,    stdDevPID
  3 , 1.07494E-07 , 3.72605E-10 
  4 , 1.28543E-07 , 2.15378E-10 
  5 , 1.73254E-07 , 3.90364E-10 
  6 , 1.93484E-07 , 8.03711E-10 
  7 , 2.15822E-07 , 3.15285E-09 
  8 , 2.41866E-07 , 1.82510E-09 
  9 , 2.56440E-07 , 1.58467E-09 
 10 , 2.76688E-07 , 7.50750E-10 
 11 , 2.94288E-07 , 8.81695E-10 
 12 , 3.31658E-07 , 2.58965E-09 
 13 , 3.52717E-07 , 3.96462E-10 
 14 , 3.75903E-07 , 5.20348E-10 
 15 , 4.30808E-07 , 4.56212E-09 
