# polyDeg ,   meanPID ,    stdDevPID
  3 , 1.41924E-07 , 4.47894E-10 
  4 , 1.47055E-07 , 9.47513E-10 
  5 , 1.70070E-07 , 8.17362E-10 
  6 , 1.86058E-07 , 2.76570E-10 
  7 , 2.15716E-07 , 1.29209E-09 
  8 , 2.59068E-07 , 1.95020E-10 
  9 , 2.81416E-07 , 9.39376E-10 
 10 , 3.10221E-07 , 5.17015E-10 
 11 , 3.19159E-07 , 9.68539E-10 
 12 , 3.60563E-07 , 1.06553E-09 
 13 , 3.86482E-07 , 3.06128E-10 
 14 , 4.02094E-07 , 1.58925E-09 
 15 , 4.40470E-07 , 3.01207E-09 
