# polyDeg ,   meanPID ,    stdDevPID
  3 , 2.46427E-07 , 5.80321E-10 
  4 , 2.60109E-07 , 7.03804E-10 
  5 , 2.96428E-07 , 8.33358E-10 
  6 , 3.39050E-07 , 1.17643E-09 
  7 , 3.76750E-07 , 5.50782E-10 
  8 , 4.25366E-07 , 2.16680E-10 
  9 , 4.69906E-07 , 2.26307E-10 
 10 , 5.20663E-07 , 3.16053E-09 
 11 , 5.54988E-07 , 7.27822E-10 
 12 , 6.18119E-07 , 7.21423E-10 
 13 , 6.59499E-07 , 1.34271E-09 
 14 , 7.08127E-07 , 2.76930E-09 
 15 , 7.68727E-07 , 1.87034E-08 
