# polyDeg ,   meanPID ,    stdDevPID
  3 , 2.56599E-07 , 4.45498E-10 
  4 , 2.78079E-07 , 2.83329E-09 
  5 , 3.27845E-07 , 1.38633E-09 
  6 , 4.08644E-07 , 1.51731E-09 
  7 , 4.56102E-07 , 9.94100E-10 
  8 , 5.22400E-07 , 1.68489E-09 
  9 , 5.77003E-07 , 7.01703E-10 
 10 , 6.34331E-07 , 3.74225E-10 
 11 , 6.66934E-07 , 8.49232E-10 
 12 , 7.41252E-07 , 1.37287E-08 
 13 , 7.68872E-07 , 8.52639E-10 
 14 , 8.20340E-07 , 1.39128E-09 
 15 , 8.65468E-07 , 1.25605E-09 
