# polyDeg ,   meanPID ,    stdDevPID
  3 , 2.39538E-07 , 1.49328E-09 
  4 , 2.51681E-07 , 7.03289E-10 
  5 , 2.93607E-07 , 1.14160E-09 
  6 , 3.34094E-07 , 1.47155E-09 
  7 , 3.91584E-07 , 5.31189E-10 
  8 , 4.93130E-07 , 1.39542E-09 
  9 , 5.48033E-07 , 4.51820E-10 
 10 , 6.02565E-07 , 9.32797E-10 
 11 , 6.38384E-07 , 5.42433E-10 
 12 , 6.21286E-07 , 1.92373E-09 
 13 , 6.65568E-07 , 3.61238E-09 
 14 , 7.46131E-07 , 1.16385E-09 
 15 , 7.63358E-07 , 1.10214E-09 
