# polyDeg ,   meanPID ,    stdDevPID
  3 , 1.42068E-07 , 2.32724E-10 
  4 , 1.49133E-07 , 4.64041E-10 
  5 , 1.76363E-07 , 2.59702E-10 
  6 , 1.91436E-07 , 2.54311E-10 
  7 , 2.20961E-07 , 9.59519E-10 
  8 , 2.35808E-07 , 3.42375E-10 
  9 , 2.48881E-07 , 5.07011E-10 
 10 , 2.86506E-07 , 2.30163E-10 
 11 , 3.03134E-07 , 1.49928E-10 
 12 , 3.38205E-07 , 4.85700E-10 
 13 , 3.56819E-07 , 7.13541E-10 
 14 , 3.83431E-07 , 1.03870E-09 
 15 , 4.25517E-07 , 1.27991E-09 
