# polyDeg ,   meanPID ,    stdDevPID
  3 , 2.31628E-07 , 6.30141E-10 
  4 , 2.37267E-07 , 2.46111E-10 
  5 , 2.75163E-07 , 5.83894E-10 
  6 , 3.11603E-07 , 4.02316E-10 
  7 , 3.59133E-07 , 9.19977E-10 
  8 , 4.46356E-07 , 5.30081E-10 
  9 , 4.90912E-07 , 1.22504E-09 
 10 , 5.40020E-07 , 6.18853E-09 
 11 , 6.09646E-07 , 8.90863E-08 
 12 , 5.67623E-07 , 1.07991E-09 
 13 , 6.05842E-07 , 6.60540E-09 
 14 , 6.78338E-07 , 1.32497E-09 
 15 , 6.89047E-07 , 2.02562E-09 
