# polyDeg ,   meanPID ,    stdDevPID
  3 , 6.82857E-07 , 1.03946E-09 
  4 , 6.91922E-07 , 1.29651E-09 
  5 , 7.26849E-07 , 8.13859E-10 
  6 , 7.57246E-07 , 1.92261E-09 
  7 , 7.90307E-07 , 5.38436E-10 
  8 , 8.35047E-07 , 1.40525E-09 
  9 , 8.79797E-07 , 4.39947E-10 
 10 , 1.00636E-06 , 1.69875E-09 
 11 , 1.01314E-06 , 5.58554E-09 
 12 , 1.07684E-06 , 3.25889E-09 
 13 , 1.14866E-06 , 2.34620E-08 
 14 , 1.21070E-06 , 2.85857E-09 
 15 , 1.24714E-06 , 3.63346E-08 
