# polyDeg ,   meanPID ,    stdDevPID
  3 , 2.29013E-07 , 7.63862E-10 
  4 , 2.35769E-07 , 4.57899E-10 
  5 , 2.71405E-07 , 9.62240E-10 
  6 , 3.09076E-07 , 1.39821E-09 
  7 , 3.47442E-07 , 1.14082E-09 
  8 , 3.87228E-07 , 5.10509E-10 
  9 , 4.20028E-07 , 4.35093E-10 
 10 , 5.25708E-07 , 2.41502E-10 
 11 , 5.12023E-07 , 3.53650E-10 
 12 , 5.66691E-07 , 2.97296E-10 
 13 , 6.04068E-07 , 8.73977E-10 
 14 , 6.78290E-07 , 5.23185E-10 
 15 , 6.90632E-07 , 2.71052E-09 
